"Slice" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"423" 9 0.447 0.183 0.073 0.297 0.841 0.051 0.895 0.793 0.141 0.387 0.245 0.593 0.603 0.251 0.783
"424" 9 0.467 0.579 0.719 0.797 0.087 0.217 0.167 0.883 0.243 0.465 0.015 0.149 0.169 0.329 0.729
"425" 9 0.493 0.215 0.683 0.697 0.681 0.543 0.765 0.163 0.949 0.331 0.095 0.039 0.147 0.563 0.023
"426" 9 0.515 0.027 0.417 0.949 0.219 0.815 0.257 0.125 0.471 0.575 0.265 0.795 0.477 0.085 0.829
"427" 9 0.523 0.945 0.941 0.017 0.487 0.063 0.663 0.383 0.017 0.615 0.409 0.513 0.185 0.661 0.311
"428" 9 0.545 0.717 0.961 0.497 0.271 0.313 0.789 0.295 0.179 0.639 0.235 0.607 0.969 0.125 0.937
"429" 9 0.579 0.737 0.025 0.543 0.025 0.849 0.417 0.471 0.489 0.975 0.395 0.271 0.267 0.717 0.917
"430" 9 0.595 0.785 0.857 0.925 0.663 0.011 0.027 0.103 0.399 0.355 0.835 0.693 0.509 0.309 0.411
"431" 9 0.613 0.835 0.147 0.881 0.331 0.871 0.139 0.413 0.349 0.095 0.611 0.363 0.115 0.067 0.289
"432" 9 0.623 0.151 0.557 0.397 0.525 0.715 0.333 0.185 0.547 0.919 0.987 0.215 0.945 0.051 0.381
"433" 9 0.653 0.327 0.575 0.869 0.065 0.231 0.513 0.997 0.671 0.427 0.791 0.437 0.825 0.983 0.267
"434" 9 0.679 0.283 0.247 0.219 0.749 0.157 0.263 0.035 0.529 0.825 0.507 0.927 0.807 0.819 0.841
"435" 9 0.697 0.919 0.599 0.659 0.779 0.731 0.917 0.325 0.187 0.689 0.939 0.833 0.235 0.625 0.893
"436" 9 0.717 0.387 0.623 0.327 0.111 0.945 0.431 0.765 0.265 0.079 0.021 0.573 0.391 0.967 0.331
"437" 9 0.739 0.407 0.093 0.625 0.737 0.279 0.579 0.817 0.335 0.773 0.499 0.911 0.057 0.879 0.147
"438" 9 0.759 0.999 0.161 0.539 0.413 0.091 0.549 0.859 0.441 0.655 0.867 0.259 0.739 0.103 0.523
"439" 9 0.763 0.773 0.347 0.731 0.921 0.921 0.305 0.727 0.763 0.537 0.347 0.117 0.887 0.515 0.013
"440" 9 0.787 0.117 0.531 0.095 0.141 0.253 0.117 0.869 0.727 0.865 0.325 0.353 0.753 0.397 0.805
"441" 9 0.817 0.595 0.911 0.255 0.595 0.403 0.239 0.957 0.217 0.033 0.631 0.889 0.767 0.299 0.353
"442" 9 0.839 0.477 0.005 0.367 0.425 0.691 0.997 0.565 0.819 0.367 0.203 0.817 0.999 0.549 0.435
"443" 9 0.847 0.443 0.827 0.305 0.895 0.103 0.813 0.619 0.879 0.993 0.583 0.749 0.699 0.219 0.471
"444" 9 0.869 0.225 0.815 0.123 0.997 0.477 0.625 0.225 0.577 0.191 0.919 0.495 0.123 0.409 0.361
"445" 9 0.889 0.677 0.477 0.567 0.829 0.137 0.613 0.483 0.791 0.301 0.045 0.539 0.025 0.187 0.879
"446" 9 0.905 0.091 0.611 0.169 0.121 0.599 0.977 0.063 0.123 0.499 0.373 0.303 0.343 0.435 0.503
"447" 9 0.931 0.691 0.181 0.761 0.199 0.321 0.741 0.081 0.615 0.135 0.699 0.179 0.433 0.837 0.235
"448" 9 0.953 0.165 0.363 0.587 0.715 0.987 0.701 0.665 0.087 0.201 0.941 0.447 0.797 0.609 0.597
"449" 9 0.979 0.513 0.303 0.619 0.785 0.747 0.081 0.659 0.979 0.447 0.857 0.655 0.379 0.475 0.949
"450" 9 0.989 0.559 0.641 0.839 0.229 0.629 0.941 0.427 0.505 0.747 0.531 0.843 0.483 0.033 0.043
"451" 10 0.001 0.295 0.213 0.667 0.637 0.455 0.353 0.445 0.971 0.961 0.833 0.449 0.769 0.529 0.053
"452" 10 0.039 0.389 0.297 0.405 0.093 0.771 0.363 0.683 0.757 0.003 0.547 0.183 0.297 0.767 0.149
"453" 10 0.051 0.607 0.487 0.519 0.483 0.867 0.781 0.069 0.003 0.233 0.481 0.555 0.071 0.701 0.867
"454" 10 0.075 0.217 0.935 0.389 0.875 0.341 0.907 0.423 0.137 0.775 0.307 0.253 0.549 0.267 0.293
"455" 10 0.099 0.427 0.787 0.115 0.275 0.969 0.755 0.787 0.079 0.663 0.759 0.175 0.637 0.877 0.499
"456" 10 0.111 0.547 0.319 0.741 0.137 0.057 0.073 0.603 0.995 0.279 0.187 0.637 0.367 0.307 0.693
"457" 10 0.133 0.337 0.091 0.343 0.377 0.081 0.777 0.395 0.377 0.357 0.515 0.015 0.085 0.215 0.827
"458" 10 0.143 0.593 0.601 0.071 0.235 0.191 0.999 0.815 0.451 0.437 0.671 0.971 0.737 0.383 0.507
"459" 10 0.177 0.357 0.981 0.337 0.113 0.265 0.011 0.139 0.285 0.527 0.597 0.063 0.619 0.479 0.611
"460" 10 0.181 0.449 0.691 0.239 0.989 0.753 0.691 0.171 0.793 0.295 0.357 0.899 0.219 0.035 0.623
"461" 10 0.219 0.859 0.235 0.853 0.313 0.925 0.317 0.985 0.155 0.869 0.463 0.237 0.529 0.421 0.169
"462" 10 0.239 0.679 0.325 0.563 0.209 0.739 0.929 0.193 0.937 0.551 0.975 0.493 0.457 0.893 0.809
"463" 10 0.251 0.735 0.903 0.685 0.759 0.147 0.159 0.855 0.259 0.337 0.617 0.599 0.171 0.105 0.763
"464" 10 0.271 0.947 0.535 0.175 0.167 0.331 0.527 0.307 0.665 0.715 0.323 0.871 0.315 0.953 0.015
"465" 10 0.299 0.069 0.631 0.375 0.007 0.621 0.097 0.761 0.163 0.793 0.761 0.645 0.021 0.495 0.315
"466" 10 0.301 0.709 0.453 0.919 0.799 0.307 0.679 0.241 0.385 0.959 0.521 0.913 0.907 0.597 0.881
"467" 10 0.337 0.471 0.391 0.055 0.957 0.297 0.713 0.639 0.317 0.129 0.881 0.517 0.103 0.991 0.397
"468" 10 0.347 0.167 0.377 0.809 0.603 0.997 0.883 0.561 0.437 0.751 0.229 0.791 0.341 0.811 0.031
"469" 10 0.363 0.905 0.263 0.965 0.739 0.375 0.411 0.711 0.115 0.107 0.651 0.779 0.687 0.799 0.099
"470" 10 0.383 0.875 0.661 0.461 0.929 0.471 0.583 0.469 0.775 0.073 0.263 0.207 0.713 0.975 0.921
"471" 10 0.405 0.103 0.027 0.605 0.571 0.553 0.161 0.661 0.323 0.309 0.931 0.613 0.587 0.859 0.997
"472" 10 0.423 0.083 0.155 0.989 0.291 0.235 0.453 0.517 0.237 0.683 0.369 0.023 0.991 0.453 0.701
"473" 10 0.455 0.319 0.547 0.789 0.185 0.795 0.393 0.839 0.839 0.999 0.685 0.757 0.519 0.281 0.977
"474" 10 0.473 0.823 0.125 0.029 0.477 0.953 0.277 0.497 0.359 0.583 0.909 0.045 0.395 0.129 0.579
"475" 10 0.483 0.887 0.063 0.315 0.661 0.251 0.853 0.209 0.709 0.569 0.873 0.695 0.231 0.099 0.111
"476" 10 0.505 0.055 0.197 0.015 0.533 0.843 0.207 0.757 0.213 0.603 0.017 0.417 0.781 0.559 0.359
"477" 10 0.527 0.505 0.745 0.727 0.027 0.657 0.425 0.977 0.025 0.155 0.297 0.721 0.851 0.253 0.759
"478" 10 0.547 0.811 0.401 0.719 0.385 0.027 0.477 0.943 0.607 0.731 0.413 0.145 0.001 0.933 0.453
"479" 10 0.573 0.765 0.177 0.433 0.335 0.719 0.869 0.105 0.507 0.519 0.103 0.137 0.829 0.165 0.941
"480" 10 0.583 0.527 0.811 0.779 0.541 0.689 0.965 0.733 0.907 0.467 0.859 0.105 0.273 0.145 0.199
"481" 10 0.603 0.141 0.895 0.265 0.885 0.611 0.297 0.535 0.869 0.361 0.795 0.333 0.927 0.191 0.849
"482" 10 0.629 0.699 0.009 0.215 0.979 0.161 0.101 0.377 0.651 0.383 0.385 0.295 0.893 0.333 0.275
"483" 10 0.655 0.015 0.249 0.523 0.353 0.677 0.571 0.559 0.271 0.023 0.259 0.841 0.047 0.079 0.531
"484" 10 0.673 0.659 0.581 0.141 0.813 0.411 0.047 0.913 0.687 0.891 0.943 0.839 0.435 0.733 0.413
"485" 10 0.693 0.781 0.951 0.133 0.509 0.423 0.137 0.019 0.725 0.219 0.047 0.371 0.127 0.363 0.583
"486" 10 0.709 0.129 0.471 0.633 0.765 0.003 0.191 0.049 0.889 0.451 0.801 0.571 0.157 0.693 0.379
"487" 10 0.731 0.039 0.119 0.449 0.071 0.383 0.337 0.289 0.805 0.823 0.159 0.387 0.497 0.059 0.135
"488" 10 0.743 0.989 0.775 0.959 0.045 0.519 0.803 0.347 0.483 0.057 0.217 0.431 0.335 0.743 0.467
"489" 10 0.779 0.223 0.715 0.589 0.583 0.105 0.499 0.927 0.859 0.187 0.441 0.991 0.679 0.839 0.737
"490" 10 0.791 0.569 0.355 0.087 0.649 0.577 0.955 0.887 0.957 0.635 0.035 0.275 0.411 0.623 0.431
"491" 10 0.819 0.979 0.733 0.189 0.247 0.899 0.235 0.417 0.555 0.245 0.717 0.949 0.465 0.223 0.255
"492" 10 0.829 0.267 0.967 0.643 0.831 0.835 0.509 0.239 0.045 0.401 0.093 0.533 0.579 0.915 0.641
"493" 10 0.841 0.491 0.421 0.245 0.437 0.071 0.623 0.025 0.081 0.091 0.439 0.805 0.961 0.359 0.549
"494" 10 0.879 0.361 0.573 0.921 0.849 0.129 0.553 0.871 0.407 0.913 0.633 0.351 0.863 0.665 0.065
"495" 10 0.897 0.751 0.041 0.885 0.451 0.811 0.023 0.327 0.473 0.481 0.133 0.717 0.649 0.657 0.671
"496" 10 0.917 0.931 0.847 0.289 0.685 0.537 0.657 0.597 0.189 0.923 0.733 0.305 0.815 0.571 0.911
"497" 10 0.921 0.189 0.825 0.553 0.151 0.587 0.607 0.093 0.531 0.653 0.985 0.923 0.745 0.615 0.327
"498" 10 0.957 0.411 0.643 0.491 0.901 0.919 0.253 0.153 0.571 0.859 0.567 0.085 0.191 0.503 0.221
"499" 10 0.963 0.631 0.503 0.867 0.717 0.487 0.727 0.655 0.639 0.163 0.167 0.667 0.943 0.009 0.213
"500" 10 0.993 0.253 0.871 0.827 0.407 0.207 0.835 0.279 0.587 0.819 0.079 0.475 0.241 0.407 0.793
